EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,Attrition
1,36,Finance,Analyst,106820,6,No
2,45,IT,IT Manager,74131,7,No
3,23,Operations,Operations Executive,89735,11,No
4,42,HR,Recruiter,113104,11,No
5,46,Marketing,Marketing Manager,55658,14,Yes
6,37,Finance,Finance Manager,89150,13,Yes
7,24,Operations,Operations Executive,99092,2,No
8,39,Sales,Sales Executive,40627,8,No
9,30,HR,Recruiter,53897,4,No
10,28,Finance,Analyst,78555,12,No
11,38,IT,Data Analyst,97121,7,No
12,25,Operations,Operations Manager,70757,12,No
13,55,HR,Recruiter,67065,13,No
14,42,Operations,Operations Executive,53247,12,No
15,47,Marketing,Marketing Manager,93704,11,No
16,50,Marketing,Marketing Executive,81214,12,Yes
17,22,Sales,Sales Manager,97563,7,Yes
18,38,IT,IT Manager,63159,2,No
19,49,IT,Developer,52662,8,No
20,44,HR,HR Manager,107373,7,No
21,43,Finance,Finance Manager,54538,2,No
22,35,Marketing,Marketing Executive,57266,0,No
23,48,Operations,Operations Executive,30206,14,Yes
24,53,Finance,Analyst,84268,15,No
25,36,Marketing,Marketing Executive,63827,12,Yes
26,43,IT,IT Manager,52299,1,No
27,27,Operations,Operations Executive,99163,3,No
28,49,IT,Data Analyst,51976,6,No
29,48,Sales,Sales Executive,91373,8,No
30,27,Sales,Sales Executive,51959,10,No
31,45,Marketing,Marketing Executive,64766,10,No
32,33,Sales,Sales Manager,82733,6,No
33,38,Sales,Sales Executive,56736,1,No
34,53,Operations,Operations Executive,37392,0,No
35,47,HR,HR Manager,56309,15,No
36,38,IT,IT Manager,55342,5,No
37,27,Finance,Finance Manager,119045,10,No
38,27,Sales,Sales Executive,81663,12,No
39,40,Finance,Analyst,64754,14,No
40,54,Finance,Analyst,113879,15,No
41,49,Sales,Sales Executive,103656,8,Yes
42,28,Operations,Operations Manager,76843,15,No
43,23,Sales,Sales Manager,61616,15,No
44,53,Marketing,Marketing Executive,91434,6,No
45,37,IT,IT Manager,96690,3,No
46,32,Sales,Sales Manager,62711,3,No
47,46,Finance,Finance Manager,112018,8,Yes
48,23,Operations,Operations Manager,32869,2,No
49,54,Sales,Sales Manager,68467,0,No
50,29,Finance,Finance Manager,76214,2,No
51,33,Sales,Sales Manager,70818,5,No
52,29,Operations,Operations Manager,49738,10,No
53,49,Operations,Operations Executive,69790,15,No
54,40,Finance,Analyst,86835,2,No
55,49,Sales,Sales Manager,48589,12,No
56,45,Operations,Operations Executive,33420,0,No
57,42,IT,Developer,36102,0,No
58,52,HR,HR Manager,53093,9,No
59,53,Operations,Operations Manager,34014,5,No
60,23,IT,Data Analyst,75017,0,No
61,50,Sales,Sales Executive,35801,6,No
62,45,HR,HR Manager,38716,11,No
63,41,Sales,Sales Manager,32368,7,No
64,44,Operations,Operations Manager,43403,1,Yes
65,46,Operations,Operations Executive,82921,14,No
66,43,Operations,Operations Manager,61024,3,Yes
67,54,Operations,Operations Executive,110135,4,No
68,25,Finance,Analyst,84021,12,Yes
69,37,Operations,Operations Executive,47019,9,No
70,40,Sales,Sales Manager,58251,9,Yes
71,44,Marketing,Marketing Manager,31150,8,No
72,22,Sales,Sales Manager,76175,13,Yes
73,22,Sales,Sales Manager,33343,12,No
74,50,Marketing,Marketing Manager,89638,2,No
75,43,IT,Developer,114664,12,Yes
76,51,Marketing,Marketing Executive,108781,3,Yes
77,42,HR,Recruiter,92752,13,No
78,26,HR,Recruiter,98385,3,No
79,53,HR,HR Manager,90160,7,No
80,45,Finance,Finance Manager,87679,6,No
81,53,Finance,Finance Manager,90890,3,No
82,54,HR,HR Manager,34000,12,No
83,24,Marketing,Marketing Manager,68304,7,No
84,34,Finance,Analyst,116027,14,No
85,44,Marketing,Marketing Executive,55351,12,No
86,55,HR,Recruiter,87458,8,No
87,32,HR,HR Manager,30412,7,No
88,31,Marketing,Marketing Executive,68756,8,No
89,39,IT,Developer,100640,6,No
90,33,Operations,Operations Manager,66208,6,No
91,51,Sales,Sales Executive,44397,3,No
92,40,Operations,Operations Executive,77280,3,Yes
93,33,Sales,Sales Executive,99896,6,No
94,37,Finance,Analyst,116900,4,No
95,42,Sales,Sales Manager,90566,15,No
96,35,Marketing,Marketing Executive,39348,2,No
97,39,IT,IT Manager,102267,8,No
98,28,Finance,Analyst,51677,12,No
99,48,Sales,Sales Manager,49065,1,Yes
100,40,Marketing,Marketing Manager,58295,15,No
101,38,Operations,Operations Manager,87854,6,No
102,27,Finance,Finance Manager,119339,14,No
103,48,Finance,Finance Manager,55289,9,No
104,34,Operations,Operations Executive,116769,11,No
105,29,Finance,Finance Manager,43116,14,No
106,34,Sales,Sales Executive,110219,13,No
107,46,Finance,Analyst,63591,0,No
108,53,Operations,Operations Manager,52700,12,No
109,32,Operations,Operations Executive,106539,4,No
110,39,IT,Developer,101726,8,Yes
111,24,Sales,Sales Executive,49087,6,Yes
112,53,Finance,Finance Manager,41023,7,No
113,29,Finance,Analyst,39337,11,No
114,49,HR,Recruiter,57355,4,No
115,38,IT,Data Analyst,68088,0,No
116,50,Marketing,Marketing Manager,57532,13,Yes
117,26,Operations,Operations Manager,80990,8,No
118,26,Operations,Operations Manager,31015,0,No
119,32,HR,Recruiter,92292,9,No
120,48,Operations,Operations Executive,116704,12,Yes
121,22,Sales,Sales Executive,30404,15,Yes
122,26,Finance,Analyst,39860,5,No
123,31,Marketing,Marketing Executive,62201,2,No
124,22,Operations,Operations Executive,75106,12,No
125,53,Operations,Operations Executive,66187,14,Yes
126,55,HR,Recruiter,91877,5,No
127,22,HR,Recruiter,103963,4,Yes
128,38,IT,Developer,83871,14,Yes
129,35,Marketing,Marketing Executive,67441,10,Yes
130,55,Operations,Operations Manager,36949,1,No
131,48,Operations,Operations Executive,91886,1,No
132,45,Operations,Operations Executive,72318,11,No
133,38,HR,HR Manager,69811,9,No
134,41,HR,HR Manager,103477,4,No
135,32,Operations,Operations Executive,36254,8,No
136,37,IT,Data Analyst,54071,3,Yes
137,53,Sales,Sales Executive,63434,12,No
138,40,Marketing,Marketing Manager,87108,4,No
139,43,HR,HR Manager,109252,5,Yes
140,47,Sales,Sales Manager,81745,0,No
141,30,Marketing,Marketing Executive,53321,8,No
142,51,Operations,Operations Executive,49262,15,Yes
143,22,HR,Recruiter,89399,0,No
144,43,Finance,Analyst,38717,9,No
145,23,Operations,Operations Manager,46748,9,Yes
146,24,IT,IT Manager,48030,6,No
147,39,Finance,Analyst,118869,2,No
148,49,Sales,Sales Executive,31062,8,No
149,46,Operations,Operations Manager,33596,3,No
150,39,HR,HR Manager,56734,3,No
151,29,HR,HR Manager,107735,0,No
152,27,HR,HR Manager,114659,9,No
153,27,IT,IT Manager,33812,8,No
154,27,Operations,Operations Executive,31605,6,No
155,51,Operations,Operations Executive,43918,7,No
156,52,IT,IT Manager,34324,3,No
157,41,Operations,Operations Manager,109579,10,No
158,51,Operations,Operations Manager,114471,5,No
159,36,Sales,Sales Manager,40954,7,No
160,26,Marketing,Marketing Manager,36469,9,No
161,41,IT,Developer,66976,11,Yes
162,32,HR,Recruiter,62254,3,No
163,27,IT,Developer,89383,9,No
164,23,HR,Recruiter,35287,1,Yes
165,38,Marketing,Marketing Executive,109767,5,No
166,26,Operations,Operations Executive,42219,11,No
167,32,Marketing,Marketing Manager,100792,1,Yes
168,43,IT,Developer,35951,12,Yes
169,35,Sales,Sales Executive,60523,13,No
170,40,Marketing,Marketing Executive,53930,13,No
171,46,Finance,Analyst,73303,7,No
172,54,Operations,Operations Manager,117062,14,No
173,54,Sales,Sales Executive,41246,6,No
174,27,Marketing,Marketing Manager,84917,2,No
175,36,HR,Recruiter,101324,0,No
176,54,IT,Developer,74028,4,No
177,25,Sales,Sales Manager,49029,1,No
178,54,IT,Data Analyst,76197,5,No
179,45,Finance,Analyst,94435,7,No
180,25,Marketing,Marketing Executive,33756,1,Yes
181,47,IT,IT Manager,101315,10,No
182,29,Operations,Operations Manager,85318,14,No
183,34,IT,Data Analyst,103319,13,Yes
184,33,Sales,Sales Executive,69915,3,No
185,29,Marketing,Marketing Manager,30126,9,No
186,50,HR,HR Manager,74327,8,No
187,42,Sales,Sales Manager,31645,3,Yes
188,36,Sales,Sales Executive,98244,14,Yes
189,47,Sales,Sales Manager,43224,2,No
190,32,Sales,Sales Manager,103509,1,No
191,48,IT,Data Analyst,66368,15,No
192,45,Finance,Analyst,97526,3,No
193,50,Sales,Sales Executive,34757,9,Yes
194,28,Marketing,Marketing Executive,100480,3,No
195,43,Finance,Finance Manager,51566,12,Yes
196,34,Sales,Sales Manager,71949,6,No
197,53,IT,Data Analyst,32717,12,No
198,37,Marketing,Marketing Manager,119106,1,No
199,23,IT,IT Manager,36645,11,No
200,25,Operations,Operations Manager,85168,7,No
201,31,IT,Data Analyst,105629,1,No
202,28,Finance,Finance Manager,111244,7,Yes
203,29,IT,IT Manager,86373,8,No
204,54,IT,IT Manager,115595,14,No
205,53,IT,Data Analyst,90535,13,No
206,42,Finance,Finance Manager,116925,14,No
207,31,HR,HR Manager,46032,6,No
208,50,Marketing,Marketing Executive,61419,1,No
209,32,Marketing,Marketing Manager,45358,1,No
210,26,Finance,Finance Manager,63572,5,No
211,43,Sales,Sales Manager,47771,7,Yes
212,44,Operations,Operations Manager,116143,15,No
213,35,IT,Developer,108344,7,No
214,30,Sales,Sales Executive,85029,5,No
215,50,Finance,Finance Manager,106908,1,No
216,39,IT,Data Analyst,91268,9,No
